ID;Names;@mail;department
119;Igor	;rty@mail.ru	;kill
120;Lex	;ewrt@mail.ru	;test
121;Igor	;trtf@mail.ru	;mod
122;Max	;qwerf@mail.ru	;cod
123;Lora	;feweqf@mail.ru	;work
124;Igor	;rty@mail.ru	;work
125;Rex	;qwerf@mail.ru	;kill
126;Max	;fef@mail.ru	;mod
127;Max	;fef@mail.ru	;mod
128;Lex	;ewrt@mail.ru	;sail
129;Igor	;qwerf@mail.ru	;cod
130;Max	;feweqf@mail.ru	;work
131;Max	;ewrt@mail.ru	;sail
132;Rex	;rty@mail.ru	;kill
133;Kate	;feweqf@mail.ru	;work
134;Rex	;trtf@mail.ru	;kill
135;Igor	;ewrt@mail.ru	;cod
136;Kate	;fef@mail.ru	;sail
137;Kate	;rty@mail.ru	;test
138;Kate	;feweqf@mail.ru	;sail
139;Lex	;trtf@mail.ru	;test
140;Igor	;feweqf@mail.ru	;mod
141;Lex	;rty@mail.ru	;mod
142;Lora	;fef@mail.ru	;cod
143;Lex	;ewrt@mail.ru	;kill
144;Kate	;ewrt@mail.ru	;mod
145;Igor	;ewrt@mail.ru	;cod
146;Lora	;qwerf@mail.ru	;test
147;Kate	;feweqf@mail.ru	;test
148;Kate	;trtf@mail.ru	;work
149;Igor	;rty@mail.ru	;test
150;Lora	;fef@mail.ru	;test
151;Lex	;fef@mail.ru	;work
152;Igor	;feweqf@mail.ru	;kill
153;Max	;rty@mail.ru	;work
154;Igor	;fef@mail.ru	;test
155;Max	;feweqf@mail.ru	;test
156;Lora	;feweqf@mail.ru	;mod
157;Rex	;rty@mail.ru	;work
158;Lex	;fef@mail.ru	;work
159;Max	;trtf@mail.ru	;kill
160;Lex	;feweqf@mail.ru	;kill
161;Max	;trtf@mail.ru	;kill
162;Kate	;feweqf@mail.ru	;work
163;Lora	;feweqf@mail.ru	;kill
164;Max	;ewrt@mail.ru	;test
165;Lex	;feweqf@mail.ru	;cod
166;Max	;rty@mail.ru	;mod
167;Lora	;feweqf@mail.ru	;work
168;Lex	;rty@mail.ru	;mod
169;Lora	;feweqf@mail.ru	;sail
170;Rex	;qwerf@mail.ru	;cod
171;Lora	;ewrt@mail.ru	;sail
172;Rex	;trtf@mail.ru	;mod
173;Rex	;trtf@mail.ru	;sail
174;Kate	;fef@mail.ru	;kill
175;Igor	;fef@mail.ru	;mod
176;Kate	;feweqf@mail.ru	;mod
177;Lora	;ewrt@mail.ru	;sail
178;Lex	;trtf@mail.ru	;cod
179;Lora	;fef@mail.ru	;cod
180;Lora	;rty@mail.ru	;sail
181;Kate	;trtf@mail.ru	;sail
182;Lex	;rty@mail.ru	;cod
183;Rex	;qwerf@mail.ru	;test
184;Lex	;rty@mail.ru	;sail
185;Kate	;fef@mail.ru	;work
186;Lora	;qwerf@mail.ru	;cod
187;Max	;fef@mail.ru	;work
188;Igor	;fef@mail.ru	;mod
189;Rex	;trtf@mail.ru	;test
190;Max	;qwerf@mail.ru	;mod
191;Rex	;ewrt@mail.ru	;sail
192;Lora	;fef@mail.ru	;kill
193;Rex	;feweqf@mail.ru	;kill
194;Max	;feweqf@mail.ru	;sail
195;Max	;ewrt@mail.ru	;work
196;Lora	;ewrt@mail.ru	;mod
197;Kate	;fef@mail.ru	;kill
198;Lora	;fef@mail.ru	;sail
199;Lora	;trtf@mail.ru	;mod
200;Lora	;ewrt@mail.ru	;cod
201;Lex	;trtf@mail.ru	;cod
202;Rex	;trtf@mail.ru	;test
203;Lex	;qwerf@mail.ru	;work
204;Rex	;feweqf@mail.ru	;sail
205;Igor	;trtf@mail.ru	;cod
206;Kate	;rty@mail.ru	;test
207;Lex	;qwerf@mail.ru	;sail
208;Rex	;fef@mail.ru	;test
209;Lora	;qwerf@mail.ru	;mod
210;Max	;qwerf@mail.ru	;cod
211;Lora	;trtf@mail.ru	;work
212;Rex	;feweqf@mail.ru	;work
213;Rex	;rty@mail.ru	;test
214;Kate	;ewrt@mail.ru	;sail
215;Rex	;rty@mail.ru	;mod
216;Lora	;trtf@mail.ru	;kill
217;Lex	;qwerf@mail.ru	;kill
218;Lex	;qwerf@mail.ru	;mod
219;Kate	;rty@mail.ru	;work
220;Igor	;rty@mail.ru	;kill
221;Lora	;trtf@mail.ru	;sail
222;Kate	;rty@mail.ru	;kill
223;Lex	;feweqf@mail.ru	;cod
224;Kate	;ewrt@mail.ru	;mod
225;Rex	;trtf@mail.ru	;work
226;Rex	;fef@mail.ru	;work
227;Lex	;trtf@mail.ru	;kill
228;Igor	;trtf@mail.ru	;mod
229;Max	;feweqf@mail.ru	;kill
230;Lex	;ewrt@mail.ru	;kill
231;Kate	;trtf@mail.ru	;kill
232;Rex	;trtf@mail.ru	;sail
233;Igor	;rty@mail.ru	;cod
234;Igor	;fef@mail.ru	;cod
235;Kate	;ewrt@mail.ru	;mod
236;Max	;fef@mail.ru	;test
237;Kate	;feweqf@mail.ru	;work
238;Lex	;trtf@mail.ru	;sail
239;Lora	;rty@mail.ru	;test
240;Kate	;rty@mail.ru	;kill
241;Lex	;fef@mail.ru	;test
242;Max	;qwerf@mail.ru	;sail
243;Rex	;fef@mail.ru	;work
244;Kate	;ewrt@mail.ru	;kill
245;Lex	;fef@mail.ru	;sail
246;Rex	;fef@mail.ru	;kill
247;Max	;feweqf@mail.ru	;mod
248;Kate	;ewrt@mail.ru	;test
249;Kate	;rty@mail.ru	;cod
250;Max	;qwerf@mail.ru	;sail
251;Igor	;trtf@mail.ru	;sail
252;Lora	;ewrt@mail.ru	;mod
253;Lex	;fef@mail.ru	;sail
254;Rex	;qwerf@mail.ru	;sail
255;Lex	;fef@mail.ru	;kill
256;Rex	;qwerf@mail.ru	;work
257;Igor	;feweqf@mail.ru	;cod
258;Kate	;fef@mail.ru	;test
259;Rex	;fef@mail.ru	;work
260;Kate	;fef@mail.ru	;mod
261;Igor	;feweqf@mail.ru	;test
262;Igor	;feweqf@mail.ru	;cod
263;Kate	;fef@mail.ru	;kill
264;Kate	;rty@mail.ru	;cod
265;Igor	;rty@mail.ru	;mod
266;Kate	;qwerf@mail.ru	;sail
267;Lex	;fef@mail.ru	;mod
268;Igor	;ewrt@mail.ru	;cod
269;Kate	;feweqf@mail.ru	;work
270;Lex	;fef@mail.ru	;mod
271;Kate	;fef@mail.ru	;kill
272;Lex	;trtf@mail.ru	;work
273;Lex	;rty@mail.ru	;cod
274;Lex	;feweqf@mail.ru	;test
275;Max	;trtf@mail.ru	;cod
276;Lora	;ewrt@mail.ru	;work
277;Kate	;trtf@mail.ru	;test
278;Igor	;trtf@mail.ru	;kill
279;Lora	;feweqf@mail.ru	;work
280;Max	;ewrt@mail.ru	;test
281;Lora	;rty@mail.ru	;mod
282;Lora	;ewrt@mail.ru	;kill
283;Lora	;rty@mail.ru	;test
284;Kate	;qwerf@mail.ru	;test
285;Max	;rty@mail.ru	;mod
286;Igor	;ewrt@mail.ru	;kill
287;Lex	;trtf@mail.ru	;sail
288;Igor	;qwerf@mail.ru	;cod
289;Max	;fef@mail.ru	;test
290;Lex	;qwerf@mail.ru	;test
291;Lex	;qwerf@mail.ru	;work
292;Max	;trtf@mail.ru	;kill
293;Kate	;trtf@mail.ru	;work
294;Rex	;ewrt@mail.ru	;sail
295;Lex	;fef@mail.ru	;work
296;Kate	;fef@mail.ru	;work
297;Max	;fef@mail.ru	;mod
298;Rex	;ewrt@mail.ru	;mod
299;Rex	;rty@mail.ru	;mod
300;Lex	;ewrt@mail.ru	;kill
301;Kate	;qwerf@mail.ru	;cod
302;Lora	;trtf@mail.ru	;work
303;Lora	;feweqf@mail.ru	;kill
304;Igor	;feweqf@mail.ru	;kill
305;Lora	;fef@mail.ru	;kill
306;Igor	;rty@mail.ru	;sail
307;Kate	;fef@mail.ru	;mod
308;Kate	;ewrt@mail.ru	;test
309;Igor	;qwerf@mail.ru	;test
310;Kate	;trtf@mail.ru	;mod
311;Lex	;feweqf@mail.ru	;mod
312;Lex	;rty@mail.ru	;kill
313;Igor	;qwerf@mail.ru	;kill
314;Kate	;trtf@mail.ru	;work
315;Kate	;feweqf@mail.ru	;sail
316;Kate	;feweqf@mail.ru	;kill
317;Kate	;rty@mail.ru	;test
318;Igor	;fef@mail.ru	;kill
319;Rex	;trtf@mail.ru	;sail
320;Lex	;qwerf@mail.ru	;sail
321;Kate	;rty@mail.ru	;kill
322;Igor	;rty@mail.ru	;test
323;Igor	;feweqf@mail.ru	;mod
324;Lora	;rty@mail.ru	;cod
325;Lex	;qwerf@mail.ru	;mod
326;Lora	;qwerf@mail.ru	;cod
327;Kate	;rty@mail.ru	;cod
328;Rex	;qwerf@mail.ru	;sail
329;Igor	;rty@mail.ru	;sail
330;Lora	;ewrt@mail.ru	;kill
331;Igor	;feweqf@mail.ru	;kill
332;Lex	;ewrt@mail.ru	;work
333;Igor	;feweqf@mail.ru	;mod
334;Lex	;rty@mail.ru	;sail
335;Lora	;qwerf@mail.ru	;kill
336;Kate	;feweqf@mail.ru	;mod
337;Igor	;rty@mail.ru	;sail
338;Kate	;qwerf@mail.ru	;test
339;Max	;qwerf@mail.ru	;test
340;Lex	;ewrt@mail.ru	;mod
341;Igor	;ewrt@mail.ru	;sail
342;Lora	;ewrt@mail.ru	;work
343;Lora	;ewrt@mail.ru	;kill
344;Lora	;trtf@mail.ru	;kill
345;Kate	;feweqf@mail.ru	;sail
346;Rex	;feweqf@mail.ru	;test
347;Lex	;trtf@mail.ru	;cod
348;Max	;qwerf@mail.ru	;cod
349;Lex	;feweqf@mail.ru	;mod
350;Kate	;qwerf@mail.ru	;work
351;Kate	;fef@mail.ru	;cod
352;Lex	;ewrt@mail.ru	;cod
353;Lex	;qwerf@mail.ru	;test
354;Lex	;fef@mail.ru	;test
355;Rex	;rty@mail.ru	;sail
356;Igor	;feweqf@mail.ru	;kill
357;Kate	;ewrt@mail.ru	;work
358;Max	;qwerf@mail.ru	;kill
359;Lex	;feweqf@mail.ru	;sail
360;Kate	;trtf@mail.ru	;work
361;Max	;fef@mail.ru	;kill
362;Rex	;ewrt@mail.ru	;sail
363;Igor	;qwerf@mail.ru	;work
364;Lex	;rty@mail.ru	;work
365;Igor	;ewrt@mail.ru	;cod
366;Lex	;ewrt@mail.ru	;work
367;Igor	;qwerf@mail.ru	;work
368;Lex	;feweqf@mail.ru	;sail
369;Igor	;qwerf@mail.ru	;kill
370;Rex	;fef@mail.ru	;sail
371;Max	;feweqf@mail.ru	;work
372;Igor	;qwerf@mail.ru	;sail
373;Max	;fef@mail.ru	;kill
374;Igor	;fef@mail.ru	;mod
375;Igor	;fef@mail.ru	;cod
376;Rex	;feweqf@mail.ru	;work
377;Kate	;fef@mail.ru	;work
378;Lora	;fef@mail.ru	;test
379;Igor	;ewrt@mail.ru	;kill
380;Kate	;rty@mail.ru	;test
381;Max	;rty@mail.ru	;work
382;Kate	;fef@mail.ru	;test
383;Max	;qwerf@mail.ru	;sail
384;Kate	;qwerf@mail.ru	;kill
385;Kate	;rty@mail.ru	;test
386;Igor	;fef@mail.ru	;mod
387;Igor	;ewrt@mail.ru	;kill
388;Kate	;qwerf@mail.ru	;sail
389;Max	;fef@mail.ru	;mod
390;Rex	;feweqf@mail.ru	;sail
391;Lora	;fef@mail.ru	;work
392;Rex	;ewrt@mail.ru	;sail
393;Igor	;ewrt@mail.ru	;work
394;Rex	;trtf@mail.ru	;cod
395;Kate	;feweqf@mail.ru	;mod
396;Igor	;fef@mail.ru	;mod
397;Igor	;trtf@mail.ru	;cod
398;Kate	;fef@mail.ru	;work
399;Igor	;ewrt@mail.ru	;cod
400;Max	;trtf@mail.ru	;test
401;Max	;ewrt@mail.ru	;work
402;Rex	;fef@mail.ru	;mod
403;Igor	;rty@mail.ru	;cod
404;Kate	;qwerf@mail.ru	;sail
405;Max	;feweqf@mail.ru	;kill
406;Kate	;feweqf@mail.ru	;kill
407;Lora	;qwerf@mail.ru	;work
408;Lora	;ewrt@mail.ru	;test
409;Igor	;rty@mail.ru	;test
410;Max	;feweqf@mail.ru	;sail
411;Lora	;rty@mail.ru	;kill
412;Max	;feweqf@mail.ru	;mod
413;Max	;qwerf@mail.ru	;sail
414;Kate	;feweqf@mail.ru	;kill
415;Lora	;qwerf@mail.ru	;mod
416;Lex	;trtf@mail.ru	;kill
417;Rex	;qwerf@mail.ru	;kill
418;Max	;trtf@mail.ru	;test
419;Rex	;rty@mail.ru	;sail
420;Max	;fef@mail.ru	;kill
421;Rex	;feweqf@mail.ru	;test
422;Igor	;feweqf@mail.ru	;kill
423;Kate	;feweqf@mail.ru	;work
424;Lex	;trtf@mail.ru	;kill
425;Lex	;qwerf@mail.ru	;test
426;Max	;ewrt@mail.ru	;sail
427;Kate	;feweqf@mail.ru	;test
428;Lex	;fef@mail.ru	;cod
429;Max	;qwerf@mail.ru	;work
430;Lora	;rty@mail.ru	;kill
431;Igor	;ewrt@mail.ru	;test
432;Lex	;trtf@mail.ru	;sail
433;Rex	;fef@mail.ru	;sail
434;Rex	;trtf@mail.ru	;mod
435;Max	;rty@mail.ru	;cod
436;Kate	;fef@mail.ru	;kill
437;Kate	;qwerf@mail.ru	;mod
438;Max	;qwerf@mail.ru	;sail
439;Lex	;rty@mail.ru	;mod
440;Lex	;qwerf@mail.ru	;mod
441;Lex	;feweqf@mail.ru	;kill
442;Lora	;feweqf@mail.ru	;sail
443;Igor	;fef@mail.ru	;kill
444;Igor	;qwerf@mail.ru	;cod
445;Igor	;rty@mail.ru	;cod
446;Igor	;trtf@mail.ru	;test
447;Lora	;feweqf@mail.ru	;sail
448;Kate	;feweqf@mail.ru	;sail
449;Rex	;fef@mail.ru	;kill
450;Rex	;qwerf@mail.ru	;mod
451;Kate	;rty@mail.ru	;cod
452;Igor	;feweqf@mail.ru	;work
453;Max	;rty@mail.ru	;work
454;Rex	;feweqf@mail.ru	;cod
455;Lex	;ewrt@mail.ru	;kill
456;Lora	;rty@mail.ru	;cod
457;Igor	;qwerf@mail.ru	;cod
458;Rex	;ewrt@mail.ru	;cod
459;Max	;trtf@mail.ru	;cod
460;Rex	;qwerf@mail.ru	;cod
461;Lex	;trtf@mail.ru	;work
462;Igor	;rty@mail.ru	;cod
463;Igor	;rty@mail.ru	;sail
464;Max	;qwerf@mail.ru	;work
465;Max	;trtf@mail.ru	;test
466;Kate	;trtf@mail.ru	;work
467;Max	;feweqf@mail.ru	;cod
468;Igor	;rty@mail.ru	;sail
469;Lora	;trtf@mail.ru	;kill
470;Igor	;fef@mail.ru	;work
471;Lex	;fef@mail.ru	;work
472;Max	;ewrt@mail.ru	;sail
473;Max	;ewrt@mail.ru	;test
474;Kate	;trtf@mail.ru	;sail
475;Lex	;fef@mail.ru	;cod
476;Lex	;rty@mail.ru	;sail
477;Kate	;ewrt@mail.ru	;test
478;Kate	;rty@mail.ru	;cod
479;Lex	;feweqf@mail.ru	;sail
480;Max	;qwerf@mail.ru	;work
481;Kate	;rty@mail.ru	;test
482;Lora	;feweqf@mail.ru	;mod
483;Lex	;rty@mail.ru	;mod
484;Max	;feweqf@mail.ru	;sail
485;Kate	;trtf@mail.ru	;test
486;Rex	;feweqf@mail.ru	;sail
487;Igor	;feweqf@mail.ru	;kill
488;Igor	;rty@mail.ru	;test
489;Kate	;fef@mail.ru	;sail
490;Lora	;fef@mail.ru	;sail
491;Igor	;trtf@mail.ru	;kill
492;Max	;rty@mail.ru	;kill
493;Kate	;feweqf@mail.ru	;sail
494;Rex	;fef@mail.ru	;work
495;Lex	;qwerf@mail.ru	;cod
496;Rex	;ewrt@mail.ru	;cod
497;Rex	;fef@mail.ru	;work
498;Igor	;rty@mail.ru	;sail
499;Max	;qwerf@mail.ru	;mod
500;Lex	;rty@mail.ru	;sail
501;Lex	;feweqf@mail.ru	;test
502;Lora	;trtf@mail.ru	;test
503;Igor	;feweqf@mail.ru	;mod
504;Kate	;rty@mail.ru	;work
505;Max	;feweqf@mail.ru	;work
506;Lex	;feweqf@mail.ru	;sail
507;Kate	;qwerf@mail.ru	;test
508;Kate	;trtf@mail.ru	;kill
509;Max	;fef@mail.ru	;cod
510;Rex	;fef@mail.ru	;sail
511;Rex	;trtf@mail.ru	;mod
512;Rex	;rty@mail.ru	;sail
513;Kate	;ewrt@mail.ru	;cod
514;Rex	;qwerf@mail.ru	;mod
515;Kate	;fef@mail.ru	;mod
516;Lex	;qwerf@mail.ru	;mod
517;Kate	;trtf@mail.ru	;work
518;Rex	;trtf@mail.ru	;cod
519;Igor	;feweqf@mail.ru	;test
520;Igor	;qwerf@mail.ru	;test
521;Lex	;trtf@mail.ru	;work
522;Lora	;fef@mail.ru	;work
523;Max	;trtf@mail.ru	;work
524;Lex	;qwerf@mail.ru	;sail
525;Max	;ewrt@mail.ru	;mod
526;Max	;fef@mail.ru	;cod
527;Igor	;trtf@mail.ru	;kill
528;Rex	;fef@mail.ru	;kill
529;Lex	;rty@mail.ru	;sail
530;Igor	;fef@mail.ru	;work
531;Lora	;ewrt@mail.ru	;work
532;Lex	;feweqf@mail.ru	;kill
533;Lora	;feweqf@mail.ru	;mod
534;Rex	;rty@mail.ru	;kill
535;Lora	;trtf@mail.ru	;mod
536;Max	;feweqf@mail.ru	;mod
537;Lex	;trtf@mail.ru	;kill
538;Lex	;fef@mail.ru	;test
539;Max	;trtf@mail.ru	;sail
540;Rex	;rty@mail.ru	;kill
541;Lex	;trtf@mail.ru	;test
542;Rex	;feweqf@mail.ru	;work
543;Igor	;feweqf@mail.ru	;mod
544;Lex	;ewrt@mail.ru	;kill
545;Igor	;ewrt@mail.ru	;kill
546;Lex	;rty@mail.ru	;kill
547;Lora	;ewrt@mail.ru	;kill
548;Igor	;fef@mail.ru	;mod
549;Kate	;ewrt@mail.ru	;test
550;Kate	;rty@mail.ru	;work
551;Lex	;rty@mail.ru	;work
552;Kate	;ewrt@mail.ru	;work
553;Lex	;rty@mail.ru	;kill
554;Lex	;qwerf@mail.ru	;mod
555;Max	;ewrt@mail.ru	;test
556;Lex	;rty@mail.ru	;test
557;Lex	;qwerf@mail.ru	;mod
558;Igor	;feweqf@mail.ru	;test
559;Lex	;rty@mail.ru	;cod
560;Kate	;ewrt@mail.ru	;sail
561;Max	;ewrt@mail.ru	;sail
562;Igor	;fef@mail.ru	;mod
563;Kate	;feweqf@mail.ru	;cod
564;Lora	;fef@mail.ru	;mod
565;Lora	;fef@mail.ru	;work
566;Igor	;fef@mail.ru	;cod
567;Rex	;rty@mail.ru	;cod
568;Max	;trtf@mail.ru	;work
569;Igor	;qwerf@mail.ru	;sail
570;Kate	;ewrt@mail.ru	;test
571;Lora	;ewrt@mail.ru	;test
572;Lex	;trtf@mail.ru	;sail
573;Lora	;trtf@mail.ru	;test
574;Igor	;fef@mail.ru	;sail
575;Max	;trtf@mail.ru	;cod
576;Lex	;feweqf@mail.ru	;sail
577;Rex	;qwerf@mail.ru	;work
578;Igor	;ewrt@mail.ru	;cod
579;Max	;rty@mail.ru	;cod
580;Rex	;trtf@mail.ru	;test
581;Igor	;qwerf@mail.ru	;sail
582;Lora	;fef@mail.ru	;kill
583;Rex	;trtf@mail.ru	;cod
584;Lex	;feweqf@mail.ru	;cod
585;Igor	;rty@mail.ru	;cod
586;Lora	;fef@mail.ru	;kill
587;Rex	;qwerf@mail.ru	;cod
588;Rex	;qwerf@mail.ru	;test
589;Lex	;trtf@mail.ru	;sail
590;Max	;qwerf@mail.ru	;sail
591;Igor	;rty@mail.ru	;work
592;Lex	;trtf@mail.ru	;work
593;Max	;qwerf@mail.ru	;work
594;Max	;fef@mail.ru	;sail
595;Lora	;ewrt@mail.ru	;test
596;Kate	;ewrt@mail.ru	;kill
597;Igor	;fef@mail.ru	;cod
598;Rex	;trtf@mail.ru	;cod
599;Rex	;trtf@mail.ru	;cod
600;Kate	;ewrt@mail.ru	;mod
601;Igor	;ewrt@mail.ru	;cod
602;Lex	;rty@mail.ru	;mod
603;Kate	;fef@mail.ru	;cod
604;Kate	;fef@mail.ru	;work
605;Rex	;rty@mail.ru	;mod
606;Lora	;fef@mail.ru	;kill
607;Lex	;feweqf@mail.ru	;mod
608;Max	;rty@mail.ru	;test
609;Lex	;ewrt@mail.ru	;work
610;Rex	;ewrt@mail.ru	;test
611;Igor	;trtf@mail.ru	;cod
612;Kate	;fef@mail.ru	;cod
613;Max	;rty@mail.ru	;test
614;Rex	;qwerf@mail.ru	;sail
615;Rex	;qwerf@mail.ru	;work
616;Max	;rty@mail.ru	;work
617;Lex	;rty@mail.ru	;sail
618;Max	;rty@mail.ru	;kill
619;Igor	;trtf@mail.ru	;mod
620;Rex	;feweqf@mail.ru	;work
621;Rex	;fef@mail.ru	;mod
622;Igor	;feweqf@mail.ru	;mod
623;Rex	;fef@mail.ru	;kill
624;Igor	;trtf@mail.ru	;work
625;Lex	;qwerf@mail.ru	;work
626;Igor	;ewrt@mail.ru	;test
627;Rex	;qwerf@mail.ru	;mod
628;Max	;ewrt@mail.ru	;test
629;Max	;rty@mail.ru	;sail
630;Lex	;feweqf@mail.ru	;cod
631;Lex	;rty@mail.ru	;sail
632;Igor	;rty@mail.ru	;mod
633;Igor	;feweqf@mail.ru	;test
634;Lora	;rty@mail.ru	;mod
635;Lex	;feweqf@mail.ru	;mod
636;Lex	;qwerf@mail.ru	;sail
637;Lora	;rty@mail.ru	;mod
638;Igor	;rty@mail.ru	;cod
639;Lex	;rty@mail.ru	;cod
640;Lora	;trtf@mail.ru	;cod
641;Igor	;fef@mail.ru	;kill
642;Rex	;fef@mail.ru	;kill
643;Lex	;rty@mail.ru	;kill
644;Lora	;ewrt@mail.ru	;test
645;Lora	;rty@mail.ru	;kill
646;Max	;qwerf@mail.ru	;sail
647;Kate	;rty@mail.ru	;test
648;Rex	;qwerf@mail.ru	;test
649;Rex	;trtf@mail.ru	;kill
650;Lora	;qwerf@mail.ru	;cod
651;Lora	;ewrt@mail.ru	;sail
652;Lora	;trtf@mail.ru	;mod
653;Lex	;rty@mail.ru	;sail
654;Kate	;trtf@mail.ru	;work
655;Max	;feweqf@mail.ru	;test
656;Lora	;fef@mail.ru	;cod
657;Max	;trtf@mail.ru	;cod
658;Kate	;qwerf@mail.ru	;mod
659;Lex	;qwerf@mail.ru	;mod
660;Lora	;feweqf@mail.ru	;work
661;Lex	;ewrt@mail.ru	;kill
662;Kate	;rty@mail.ru	;cod
663;Lora	;qwerf@mail.ru	;sail
664;Rex	;qwerf@mail.ru	;sail
665;Lora	;ewrt@mail.ru	;mod
666;Rex	;fef@mail.ru	;mod
667;Rex	;ewrt@mail.ru	;cod
668;Lex	;ewrt@mail.ru	;mod
669;Kate	;rty@mail.ru	;cod
670;Igor	;qwerf@mail.ru	;sail
671;Kate	;qwerf@mail.ru	;mod
672;Igor	;feweqf@mail.ru	;test
673;Kate	;feweqf@mail.ru	;sail
674;Kate	;rty@mail.ru	;test
675;Rex	;ewrt@mail.ru	;work
676;Igor	;qwerf@mail.ru	;sail
